component,n_stations,M0_median,M1_median,median_delta,mean_delta,frac_worse,worse_criterion,wilcoxon_p
kge,8979,0.5189909802966409,0.6181771857352719,0.0557450586150014,-264.4548029242708,0.3160708319411961,decreased,0.0
kge_r,8979,0.7970409726304105,0.8130707388419981,0.0059803818268128195,0.014552019435226136,0.3824479340683818,decreased,4.524742332033165e-148
kge_alpha,8979,0.8132590912290718,0.8429764542824129,0.025705992411963807,-0.20217118019050437,0.357389464305602,moved away from 1.0,6.372784775011229e-23
kge_beta,8979,1.0245709586810872,1.010871375281541,-0.010039070381314241,265.8490620651485,0.39570108029847423,moved away from 1.0,1.4032032482345744e-16
nse,8979,0.5180986707257185,0.5923342504032021,0.030545207069713975,-101653.9524863829,0.3295467201247355,decreased,4.653753560941625e-297
sim_std,8979,0.0602939314336833,0.0616268737944312,0.0011230545755528017,0.0048221862865795734,0.42788729257155583,decreased,5.802270306048769e-60
