split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.7242921983235053,0.8226332128574356,0.7009420602308797,0.7732149175210178,0,0
val,30,28,2,0.5603436442593268,0.6414577203439722,-4.180582922284523,-374.1975604760028,7,7
test,30,28,2,0.6288350385204341,0.5743870574192245,-4.573005787253213,-416.06903063792305,7,7
