split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,22,8,0.2207186730563132,0.09165393273601041
val,30,28,2,0.1830221266245325,-0.011178042890186202
test,30,28,2,0.13451791829392684,0.029554770155537202
