fold,M0_kge,M1_kge,M0_alpha,M1_alpha,M0_r,M1_r,M0_beta,M1_beta,paired_delta_kge,frac_improved,n_basins
0,-0.13078588445830486,0.47840022310328006,0.15917979542609056,0.7925820467268101,0.6115997689966872,0.7793536855447216,0.7518264117910931,0.9296218833508594,0.6376440418046727,0.9716312056737588,282
1,-0.1566354127261419,0.5061482458846753,0.15579333979086357,0.7828058351403258,0.5792362148607564,0.7776834221964437,0.4158199101631411,0.9584048399168584,0.606104174357335,0.9113475177304965,282
2,-0.06730644637350269,0.5558625845759009,0.26909161141443694,0.8768084568437092,0.6600708442655039,0.7822437388121003,0.4469588210800134,1.0363444866960956,0.5703367283852889,0.8581560283687943,282
3,-0.155722318911648,0.5168563577869488,0.13597921129276463,0.820143869520541,0.5352610992352704,0.7796517910820748,0.6515341611683859,1.01816318159109,0.6617370798947909,0.9468085106382979,282
4,-0.14655656339205203,0.4682232769302723,0.15625717223712438,0.7364009313172939,0.5920091898704606,0.7793777721646096,0.5034340216456619,0.8831855174510339,0.5808168852688922,0.9290780141843972,282
