split,station_id,samples,lstm_nse,lstm_kge,corrected_nse,corrected_kge
train,02070000,4456,0.7304933761319004,0.7343103283308405,0.7023265651411947,0.6404751086147957
train,02191300,2082,0.9240584061603722,0.9490288959965919,0.9195196622935726,0.9323970368952644
train,02207448,437,0.9291486714360538,0.8778993493408107,0.935057393077158,0.9595060439400321
train,02232500,2723,0.9109718920973479,0.8757377603736389,0.8933210460171167,0.8152738512032303
train,02245500,3867,0.7710648115876761,0.7083637779732659,0.7684421941435022,0.7013366757060653
train,02246459,1162,0.13109744406503365,0.051068956503834695,0.12201054594747884,0.02503238067842406
train,02294217,2572,0.8186174583195447,0.7038379415896077,0.8615523372566507,0.8680162399958252
train,02307000,3408,0.7158655661178682,0.6080082425937113,0.735805421273972,0.6169228256774828
train,02399200,3219,0.9142740541622695,0.8819614869679673,0.9111941416076538,0.85540525021674
train,02413210,1385,0.9184476792792551,0.9145735481654749,0.9207136372699789,0.9428267923055161
train,02423130,3082,0.8016490150184752,0.6908611317680593,0.8006460106827898,0.7095176354807591
train,02455000,3170,0.873656176004166,0.8665984560781347,0.8761072023185165,0.880966977147566
train,02458450,3075,0.7836555305670097,0.8103026153439344,0.7820674179996532,0.8335155825075282
train,02470072,2545,0.7461251527130623,0.7603762156301772,0.749554068317574,0.7830161658992929
train,03164000,4398,0.8448832690047984,0.7959642760129836,0.8219700203774859,0.7227069641451204
train,07025500,888,0.5918032199009506,0.48096709397666204,0.618365068905122,0.529742862349093
train,07058000,2820,0.8407061565670195,0.8212669994362034,0.8264852043382672,0.7585156685733767
train,07071500,3199,0.8977418037547525,0.8442786064269656,0.8839277162661743,0.791349020477885
train,07076517,2467,0.5698349441349784,0.6329386657972512,0.5541599191790672,0.5605555492645505
train,07281600,2907,0.8768197051482187,0.9265982741237782,0.856198571058283,0.9000081865698951
train,07369500,2493,0.8789237898589131,0.8780910830893849,0.8675769810905019,0.8031982550091967
train,07377000,1975,0.8888440750029866,0.875195296831528,0.8876302035007599,0.8689439721236019
val,02070000,1724,0.618771346962327,0.8033513807195775,0.6243477481296509,0.7609341904677761
val,02152474,172,-0.06103248978434794,0.20064876204227466,-0.04911046267908237,0.19543636883720406
val,02191300,1628,0.731837443219387,0.8537349535252794,0.7290268172658408,0.8592330818033941
val,02207448,1600,0.470004034674116,0.7364213833298864,0.44366584053585023,0.732607929574977
val,02232500,1702,0.802706545340135,0.7179710428777057,0.8000799543161043,0.6927354689931018
val,02245500,1735,0.678585766379864,0.7470631950300699,0.6810678990741215,0.7588529746631854
val,02246459,651,-0.2538850198446714,0.013605574184986091,-0.251443894284924,0.14592646475254234
val,02294217,1618,0.6665385394958598,0.6172986350487697,0.7379586583690373,0.7599935815008011
val,02307000,1653,0.7038322452138646,0.5911609111824581,0.7332062727893556,0.641539549824462
val,02343225,122,0.5870260893547262,-0.06231019600530252,0.7283452383095519,0.3316421231388824
val,02390000,1102,-107.13283978254051,-8.702140917816628,-110.13873361439211,-8.805273153167851
val,02399200,1721,0.7440564906589748,0.6851100125537255,0.7420351906912674,0.6725127442948498
val,02413210,454,0.6597051923658607,0.5807503951176072,0.6652611593183327,0.5913090669783273
val,02423130,1690,0.7202598170439894,0.35448058660172677,0.7270350284304868,0.46066204042705783
val,02455000,1633,0.8185043612549754,0.764073746559874,0.8183176087128392,0.7668719145372856
val,02458450,1735,0.7445540642473255,0.8575910185829215,0.7556068967617776,0.8371196457403605
val,02470072,1738,0.6428199260649019,0.640687002918783,0.6477851588685293,0.6794362366200111
val,03164000,1689,0.7800576786435814,0.717612835375514,0.7526487160494862,0.659377622059723
val,03601630,366,-12713.168338791114,-116.43704112674621,-11199.51496586313,-111.00208105385272
val,07058000,1267,0.8196261004577702,0.7172507879944322,0.7943937103359071,0.6812867214198957
val,07071500,1717,0.7648093028389178,0.8024321443630449,0.7492900577375681,0.7567349642263169
val,07076517,1717,0.35132598265952975,0.554345773213175,0.35542095597531553,0.4938214399360985
val,07281600,1708,0.5354431457806019,0.7327666069567228,0.5973244630195711,0.7920446899024709
val,07346045,366,-0.6506208816880659,-0.5921443723003355,-0.4226922793252119,-0.4888208300096655
val,07369500,1723,0.8270157351309521,0.8730488869889598,0.8135623182758863,0.7038101760862607
val,07375960,359,-6.165908706879013,-2.4979898829901206,-3.1773121692758997,-1.6029648771847778
val,07377000,1632,0.7854234271105313,0.783721972041586,0.8120651152796977,0.8786111977332883
val,08039100,25,-0.23648529596090162,-0.45733839226613404,-0.23203950490141034,-0.42759207654654174
test,02070000,2415,0.7317986459511627,0.8205976674514558,0.7313567707486439,0.7844710555792043
test,02152474,2449,0.5265676809149593,0.7659928292509722,0.548570265244344,0.78024625417057
test,02191300,2437,0.6308564414211048,0.6719501705674802,0.6085757160314811,0.64258629412019
test,02207448,2329,-0.1600084317920678,0.0851100130761614,-0.41298404353830875,-0.05321046362930293
test,02232500,2447,0.3832213854789521,0.38464890495360193,0.3262262155710931,0.3073464567711136
test,02245500,2404,0.29587629164706686,0.6176708625595606,0.29763513777789863,0.6151116371703724
test,02246459,568,-2.3693567170438636,-0.99793689342714,-1.4571701064271991,-0.5499797043111685
test,02294217,2321,0.2679607624120134,0.31726552682485043,0.3293062473203239,0.4337831295817389
test,02307000,2340,0.6550924837125083,0.5426308274078275,0.6574884908175564,0.5130625154464123
test,02343225,2460,-0.2819024364968419,-0.21201303618095757,-0.11476259932769928,-0.10339176850396092
test,02390000,2462,-61.241334196454176,-6.7541817388697405,-61.64603751462614,-6.77689210588647
test,02399200,2445,0.7687775056880143,0.799420423963527,0.7693886527396344,0.781629407808895
test,02413210,2436,0.7867613025946679,0.8006759427591084,0.7881413108695374,0.8194725603335464
test,02423130,2345,0.6205096251176283,0.6623620349159127,0.6289346124429058,0.7063163294674061
test,02455000,2367,0.8157494830630008,0.7735667180826816,0.8198903830562849,0.7836389419314691
test,02458450,2462,0.6137111616771593,0.5705483034121365,0.5806575632032922,0.5466998366449654
test,02470072,2428,0.7151347784301767,0.7811431204577063,0.7228618239725588,0.8319878150562707
test,03164000,2258,0.7988074702553903,0.834561468015085,0.7900518003720614,0.7705741372075247
test,03601630,1340,-9413.223308887005,-106.95805182718054,-8201.431308929054,-101.61612036049532
test,07058000,2390,0.7736702090046343,0.7699830942883714,0.75947069529405,0.705686880963912
test,07071500,2465,0.582751481148365,0.719348032649068,0.5828030017751205,0.6805599935250366
test,07076517,2442,0.441483727361519,0.5458583240119534,0.4078826460826446,0.4715919425882733
test,07281600,2393,0.572686429968484,0.7836663811542206,0.5704019469777734,0.7795161118256626
test,07346045,2459,-0.23086040794812512,-0.6085229555188871,-0.16077368449922735,-0.47847199073010627
test,07369500,2467,0.762552799023815,0.7428475091596223,0.7875274378436085,0.8140645152970685
test,07375960,2423,-2.4272248279712803,-1.2624528873326168,-1.061533789072071,-0.6185950122917985
test,07377000,2460,0.7755376020833167,0.7652685569404967,0.7616313621939725,0.7093036383873073
test,08039100,127,-1.5324630670812356,-0.3819252207529784,-1.4961473293875223,-0.3709426619273495
