split,rmse_target,mae_target,r2_target,corr_target
train,0.3914211511499662,0.27177122421509853,0.07282745331497609,0.26992442884414214
val,0.5867873726140748,0.3839528750065881,-0.010298107837805492,0.14188249234952657
test,0.7731931735533112,0.503160983134615,0.025135069013857758,0.16060512313972292
