split,n_stations,lstm_median_nse,lstm_median_kge,corrected_median_nse,corrected_median_kge,lstm_negative_nse_stations,lstm_negative_kge_stations,corrected_negative_nse_stations,corrected_negative_kge_stations
train,22,0.842794712785909,0.8157848073900689,0.8413418876982751,0.7972736377435409,0,0,0,0
val,28,0.6631218659308602,0.6628985077362542,0.7040514637523041,0.6759744904574304,7,6,7,5
test,28,0.5777189555584245,0.6400164487377367,0.5755297550905327,0.6288489656452811,8,7,8,8
