split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,22,8,0.7847619656574254,0.7204890494972722
val,30,28,2,0.524135484739503,0.22418502618781472
test,30,28,2,0.4891402657203641,0.25220442476893185
