epoch,train_loss,val_hourly_kge,val_hourly_nse
1,0.7681891559954738,0.23208440181850937,0.12741662570801265
2,0.34343772273827317,0.3742603006138165,0.23800546124378924
3,0.28265354269962706,0.39365736401298196,0.19757273061256198
4,0.24274939297768966,0.46261017450999464,0.24078003759549838
5,0.21152493139397432,0.48798444932678253,0.23697585227069712
6,0.19347601570032066,0.5126826629696458,0.2546612933239104
7,0.17321588304254892,0.48986747026952326,0.20620945912213434
8,0.16873449116955497,0.49737323270242545,0.16733515810470873
9,0.15476983161686478,0.482815963030755,0.21431809317575723
10,0.14760588891777027,0.524135484739503,0.22418502618781472
11,0.14103798187131897,0.5131565500059085,0.2693119740047103
12,0.13466456816095085,0.5103338747872554,0.2437693207212278
