method,metric_scale,result_folder,trainable_parameters,frozen_parameters,symbolic_prior,best_lr,best_weight_decay,sym_loss_weight,best_epoch,train_median_kge,train_median_nse,val_median_kge,val_median_nse,test_median_kge,test_median_nse,best_model,summary_file,summary_metrics_file
daily_branch_transfer_hourly_branch_frozen,HOURLY,outputs/transfer_daily_to_hourly_partial_ft_s2_random30,lstm_daily; transfer_h; transfer_c; head_daily; head_hourly,lstm_hourly,none,0.0005,0.00001,NA,10,0.7847619656574254,0.7204890494972722,0.524135484739503,0.22418502618781472,0.4891402657203641,0.25220442476893185,outputs/transfer_daily_to_hourly_partial_ft_s2_random30/best_transfer_model.pth,outputs/transfer_daily_to_hourly_partial_ft_s2_random30/summary.md,outputs/transfer_daily_to_hourly_partial_ft_s2_random30/summary_hourly_metrics.csv
symbolic_prior_daily_branch_transfer_hourly_branch_frozen,HOURLY,outputs/transfer_daily_to_hourly_partial_ft_s2_random30_symbolic_hybrid_sw0.05,lstm_daily; transfer_h; transfer_c; head_daily; head_hourly,lstm_hourly,hybrid_symbolic_prior,0.0005,0.00001,0.05,5,0.7093022060929164,0.6488689995982242,0.5367824055068117,0.2907254855406728,0.5062644856852366,0.26070859012616493,outputs/transfer_daily_to_hourly_partial_ft_s2_random30_symbolic_hybrid_sw0.05/best_transfer_model.pth,outputs/transfer_daily_to_hourly_partial_ft_s2_random30_symbolic_hybrid_sw0.05/summary.md,outputs/transfer_daily_to_hourly_partial_ft_s2_random30_symbolic_hybrid_sw0.05/summary_hourly_metrics.csv
