split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.7380389128714347,0.722794753919616,0.7158984756261318,0.6907655144603366,1,0
val,30,28,2,0.5448602474768551,0.6332451232862839,-2.8373529450993766,-161.6664873370921,6,7
test,30,28,2,0.5401583985316549,0.47497051934401147,-3.207968741666561,-186.93439014283686,7,8
