epoch,train_loss,val_loss
1,2.278001970476194,0.964028166309957
2,1.1396148683090868,0.7707999252469586
3,0.9077262038699021,0.6741004506109896
4,0.7752296699600825,0.601705352427335
5,0.7092652791125672,0.5321572969340836
6,0.689581713843092,0.5006015178867562
7,0.607542787135565,0.510213935223047
8,0.5699373524234853,0.4403803253533757
9,0.5159821993369769,0.4423437163080671
10,0.5002901845005407,0.4561038735302535
11,0.4992333280946588,0.43713001252629174
12,0.46622066572154586,0.42486612408624236
13,0.47830706043241067,0.43109778373317437
14,0.4512083042546038,0.4203453665537756
15,0.43997328433616434,0.40069190161813667
16,0.4168366739164536,0.435788529074181
17,0.4075467110008097,0.3770233815887568
18,0.40701469770598464,0.3931897705888358
19,0.39514173401499963,0.3976575419590736
20,0.4059811704337759,0.4131033159390565
21,0.41735744105765066,0.3804963047503375
22,0.3899517368985716,0.3922102905820217
23,0.40269301257321677,0.3578206819125936
24,0.37201332354579875,0.34328698090543874
25,0.36421751194570773,0.44567233253130845
26,0.39617144643894,0.36994055668518383
27,0.37088338982568025,0.3621387133045022
28,0.3485645751119908,0.4201029260508446
29,0.3523177036454076,0.3722340620542295
30,0.3505313692461573,0.3493578494296113
31,0.34322150192102024,0.36078854583167663
32,0.3500392140607846,0.35197219931880164
33,0.31958101388874877,0.35231379315249395
34,0.3341263221084094,0.34811796302290626
