split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.7215422056437956,0.714198797166841,0.6735769164625723,0.6781792202429074,1,0
val,30,28,2,0.53721757747414,0.6308308911702547,-1.0231792002474416,-33.56975720968108,7,6
test,30,28,2,0.5797406686403677,0.535151764083467,-2.074903852164874,-135.0609432436049,6,8
