model,station_id,hydro_start,hydro_end,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
Best 100-station MTSLSTM,02091814,2013-10-01 00:00:00,2015-09-30 23:00:00,11.666666666666666,27,46,83
Best 100-station MTSLSTM,07338500,2013-10-01 00:00:00,2015-09-30 23:00:00,-20.63157894736842,19,20,33
Best 100-station MTSLSTM,07338750,2013-10-01 00:00:00,2015-09-30 23:00:00,2.6,30,42,33
Daily-supervised transfer MTSLSTM,02091814,2013-10-01 00:00:00,2015-09-30 23:00:00,18.571428571428573,28,46,81
Daily-supervised transfer MTSLSTM,07338500,2013-10-01 00:00:00,2015-09-30 23:00:00,-14.65,20,20,82
Daily-supervised transfer MTSLSTM,07338750,2013-10-01 00:00:00,2015-09-30 23:00:00,-4.7317073170731705,41,42,174
Transfer + symbolic regression prior,02091814,2013-10-01 00:00:00,2015-09-30 23:00:00,18.344827586206897,29,46,84
Transfer + symbolic regression prior,07338500,2013-10-01 00:00:00,2015-09-30 23:00:00,-21.5,20,20,52
Transfer + symbolic regression prior,07338750,2013-10-01 00:00:00,2015-09-30 23:00:00,-4.214285714285714,42,42,214
