split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,24,6,0.0616603224250627,0.08952066340150772
val,30,27,3,0.023139689829692167,-0.03617849688216368
test,30,28,2,-0.08609156063093026,-0.053468315565862845
