split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,24,6,0.052210057104379204,0.11755624793803987
val,30,27,3,-0.050998778042739,-0.04644793790521806
test,30,28,2,-0.08811340264069467,-0.0033743861052102364
