station_id,STANAME,DRAIN_SQKM_x,HUC02,lat,lon,STATE,BOUND_SOURCE,HCDN_2009,HBN36,OLD_HCDN,NSIP_SENTINEL,FIPS_SITE,COUNTYNAME_SITE,NAWQA_SUID,p_mean,pet_mean,aridity_index,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,DRAIN_SQKM_y,ELEV_MEAN_M_BASIN,ELEV_STD_M_BASIN,SLOPE_PCT,RRMEAN,RRMEDIAN,BAS_COMPACTNESS,STREAMS_KM_SQ_KM,STRAHLER_MAX,TOPWET,CLAYAVE,SANDAVE,AWCAVE,PERMAVE,BDAVE,for_pc_use,crp_pc_use,urb_pc_use,selection_seed,selection_region,selection_note,train_samples,train_score_status,train_exclusion_reason,train_nse,train_kge,val_samples,val_score_status,val_exclusion_reason,val_nse,val_kge,test_samples,test_score_status,test_exclusion_reason,test_nse,test_kge
02423496,"CAHABA RIVER NEAR HOOVER, AL",585.7911,03,33.369277,-86.784155,AL,1,,,,,1073,Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",78226,ok,,0.36913350890349717,0.004733836439093531,34512,ok,,0.40195039424044743,-0.050998778042739,51671,ok,,0.40143291519625135,0.032125986533820816
02446500,"SIPSEY RIVER NR ELROD, AL",1368.045,03,33.25706249,-87.77640224,AL,1,,,,,1125,Tuscaloosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",78824,ok,,0.20951505153019367,0.38133996585769003,34749,ok,,0.349877030166973,0.44910468880224097,52004,ok,,0.24943781098428153,0.3622205429630876
02447025,TOMBIGBEE R AT GAINESVILLE L&D NR GAINESVILLE AL,18672.03,03,32.84818562,-88.15613634,AL,1,,,,,1063,Greene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",0,excluded,no_valid_windows,,,8312,ok,,-0.47923240345132756,-0.2687643693697772,47883,ok,,-0.431423968486774,-0.23978334456995998
02458300,"VILLAGE CREEK AT 24TH ST. AT BIRMINGHAM, AL",66.8169,03,33.54261,-86.81749,AL,1,,,,,1073,Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",75682,ok,,-0.05579157861844197,-0.14295087548508922,21241,ok,,-0.09762609576048709,-0.08991461599377004,51045,ok,,-0.19341220024254047,-0.16540435716770996
03407908,"NEW RIVER AT CORDELL, TN",513.8379,05,36.336146,-84.451329,TN,1,,,,yes,47151,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",0,excluded,no_valid_windows,,,18295,ok,,-0.04644793790521806,-0.29365059830723994,4,ok,,-4979.723851268547,-1.04780950983419
03471500,"S F HOLSTON RIVER AT RIVERSIDE NR CHILHOWIE, VA",198.1611,06,36.76039313,-81.63122929,VA,1,yes,,,,51173,Smyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",103189,ok,,-1.168160208878232,-0.29379639051724493,34772,ok,,-6.118405007105719,-1.2207535966210985,51717,ok,,-1.5707879017392714,-0.3351339336957022
03478400,"BEAVER CREEK AT BRISTOL, VA",68.1156,06,36.63177439,-82.13374246,VA,4,,,,,51520,Bristol,tenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",104794,ok,,-141.6458923529029,-10.62450291132517,34751,ok,,-659.3529507895367,-18.5402010342846,51906,ok,,-212.15561042446768,-10.950268773985727
03526000,"COPPER CREEK NEAR GATE CITY, VA",276.5187,06,36.67398838,-82.5657099,VA,4,,,,,51169,Scott,tenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",22749,ok,,-10.811028588936656,-3.2717349070277075,0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,
03535000,"BULLRUN CREEK NEAR HALLS CROSSROADS, TN",177.2811,06,36.11441319,-83.9881737,TN,1,,,,,47093,Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",17443,ok,,0.6447902767396337,0.544478905850031,26326,ok,,0.4729633941204656,0.49895193460270804,51623,ok,,0.5770303477695966,0.5834482649990349
07024000,"BAYOU DE CHIEN NEAR CLINTON, KY",177.8643,08,36.62867072,-88.96395098,KY,1,,,,,21105,Hickman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]; disjoint resample excluding original S2 30 stations from selected_stations.csv; requested 30, selected 30",81152,ok,,0.1642631447434577,0.4297473599413708,31394,ok,,-0.31186085589118795,0.36258471580522833,51121,ok,,0.05146727158981912,0.5521328240151471
