split,baseline_kge,baseline_nse,transfer_kge,transfer_nse,transfer_kge_gain_vs_baseline,transfer_nse_gain_vs_baseline,symbolic_kge,symbolic_nse,symbolic_kge_gain_vs_baseline,symbolic_nse_gain_vs_baseline
train,0.09189855446599315,0.08012531891674157,0.0616603224250627,0.08952066340150772,-0.030238232040930457,0.009395344484766144,0.052210057104379204,0.11755624793803987,-0.03968849736161395,0.0374309290212983
val,0.016488438096826208,-0.027039328385946915,0.023139689829692167,-0.03617849688216368,0.006651251732865959,-0.009139168496216765,-0.050998778042739,-0.04644793790521806,-0.06748721613956521,-0.019408609519271147
test,-0.04713439095864269,-0.0007386466976433415,-0.08609156063093026,-0.053468315565862845,-0.03895716967228757,-0.052729668868219504,-0.08811340264069467,-0.0033743861052102364,-0.04097901168205198,-0.002635739407566895
