split,baseline,baseline_valid_n,symbolic,symbolic_valid_n,transfer,transfer_valid_n
train,-0.015306122448979588,24,-3.3281733746130033,24,-2.4574714418030257,24
val,3.9333333333333336,26,-0.1346153846153846,26,2.65,26
test,1.4307692307692308,25,-2.4761904761904763,25,-1.4615384615384615,25
