split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,24,6,0.09189855446599315,0.08012531891674157
val,30,27,3,0.016488438096826208,-0.027039328385946915
test,30,28,2,-0.04713439095864269,-0.0007386466976433415
