station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
02075500,val,transfer,0.0,53,66,87
02091814,val,transfer,10.823529411764707,17,30,91
02207400,val,transfer,6.166666666666667,12,12,75
02208130,val,transfer,2.8,5,5,43
02217274,val,transfer,,0,0,40
02294330,val,transfer,,0,0,0
02325000,val,transfer,2.5,4,5,59
02404400,val,transfer,-3.984375,64,75,95
02405500,val,transfer,-4.530612244897959,49,60,66
02422500,val,transfer,11.03921568627451,51,84,84
02423496,val,transfer,-3.4305555555555554,72,92,85
02446500,val,transfer,-8.958333333333334,24,32,143
02447025,val,transfer,26.580645161290324,31,104,50
02458300,val,transfer,13.184782608695652,92,118,100
03407908,val,transfer,4.407407407407407,27,47,47
03471500,val,transfer,-8.782608695652174,23,24,120
03478400,val,transfer,9.333333333333334,3,3,227
03526000,val,transfer,,0,0,0
03535000,val,transfer,-4.742857142857143,35,35,91
07024000,val,transfer,3.8285714285714287,70,112,96
07029500,val,transfer,7.7368421052631575,19,23,216
07053500,val,transfer,24.066666666666666,45,207,79
07338500,val,transfer,-9.55,40,41,136
07338750,val,transfer,-3.206896551724138,58,58,234
07373000,val,transfer,-0.84,25,26,80
07386980,val,transfer,12.727272727272727,110,195,163
08010000,val,transfer,-11.464788732394366,71,82,188
08013500,val,transfer,-6.086956521739131,23,28,241
08033900,val,transfer,,0,0,0
08040600,val,transfer,6.571428571428571,21,31,224
02075500,val,symbolic,-0.2692307692307692,52,66,75
02091814,val,symbolic,11.263157894736842,19,30,89
02207400,val,symbolic,6.583333333333333,12,12,65
02208130,val,symbolic,3.25,4,5,27
02217274,val,symbolic,,0,0,32
02294330,val,symbolic,,0,0,0
02325000,val,symbolic,0.0,4,5,100
02404400,val,symbolic,-4.8,65,75,93
02405500,val,symbolic,-7.107142857142857,56,60,104
02422500,val,symbolic,7.019607843137255,51,84,103
02423496,val,symbolic,-3.390625,64,92,74
02446500,val,symbolic,-3.1,20,32,92
02447025,val,symbolic,41.421052631578945,19,104,28
02458300,val,symbolic,13.5,96,118,106
03407908,val,symbolic,-3.5142857142857142,35,47,72
03471500,val,symbolic,-8.608695652173912,23,24,117
03478400,val,symbolic,10.5,2,3,145
03526000,val,symbolic,,0,0,0
03535000,val,symbolic,-4.714285714285714,35,35,137
07024000,val,symbolic,4.444444444444445,72,112,91
07029500,val,symbolic,-3.85,20,23,165
07053500,val,symbolic,16.761904761904763,63,207,96
07338500,val,symbolic,-16.13888888888889,36,41,105
07338750,val,symbolic,-2.8793103448275863,58,58,378
07373000,val,symbolic,0.9583333333333334,24,26,76
07386980,val,symbolic,23.344086021505376,93,195,137
08010000,val,symbolic,-7.82258064516129,62,82,114
08013500,val,symbolic,-12.25,20,28,118
08033900,val,symbolic,,0,0,0
08040600,val,symbolic,11.166666666666666,12,31,180
02075500,test,baseline,-4.734177215189874,79,102,91
02091814,test,baseline,9.898305084745763,59,125,163
02207400,test,baseline,6.875,16,16,106
02208130,test,baseline,4.0,12,13,18
02217274,test,baseline,1.0,1,1,10
02294330,test,baseline,,0,4,6
02325000,test,baseline,-14.428571428571429,7,18,124
02404400,test,baseline,1.3333333333333333,66,82,80
02405500,test,baseline,1.4307692307692308,65,116,71
02422500,test,baseline,5.6923076923076925,78,113,90
02423496,test,baseline,-0.33707865168539325,89,138,96
02446500,test,baseline,-3.4705882352941178,34,64,98
02447025,test,baseline,28.464864864864865,185,338,233
02458300,test,baseline,9.201716738197424,233,287,265
03407908,test,baseline,,0,0,0
03471500,test,baseline,-0.41304347826086957,46,58,86
03478400,test,baseline,4.785714285714286,14,20,61
03526000,test,baseline,,0,0,0
03535000,test,baseline,1.5862068965517242,58,121,59
07024000,test,baseline,1.5277777777777777,36,167,37
07029500,test,baseline,-9.607142857142858,28,36,135
07053500,test,baseline,,0,0,0
07338500,test,baseline,-16.4375,48,57,75
07338750,test,baseline,3.4696969696969697,66,105,72
07373000,test,baseline,-0.05714285714285714,35,67,41
07386980,test,baseline,14.76978417266187,139,316,176
08010000,test,baseline,-7.375,32,120,36
08013500,test,baseline,-1.1612903225806452,31,40,136
08033900,test,baseline,,0,0,0
08040600,test,baseline,16.333333333333332,24,63,349
02075500,test,transfer,-2.289855072463768,69,102,105
02091814,test,transfer,24.586206896551722,29,125,49
02207400,test,transfer,7.5625,16,16,136
02208130,test,transfer,2.923076923076923,13,13,42
02217274,test,transfer,-8.0,1,1,79
02294330,test,transfer,,0,4,0
02325000,test,transfer,-14.2,10,18,108
02404400,test,transfer,-1.4615384615384615,78,82,173
02405500,test,transfer,-6.115384615384615,104,116,175
02422500,test,transfer,2.808219178082192,73,113,224
02423496,test,transfer,-8.148760330578513,121,138,161
02446500,test,transfer,-7.288461538461538,52,64,298
02447025,test,transfer,19.198830409356724,171,338,331
02458300,test,transfer,9.986425339366516,221,287,272
03407908,test,transfer,,0,0,0
03471500,test,transfer,-4.339622641509434,53,58,177
03478400,test,transfer,1.2,20,20,360
03526000,test,transfer,,0,0,0
03535000,test,transfer,-5.822033898305085,118,121,228
07024000,test,transfer,2.325301204819277,83,167,103
07029500,test,transfer,3.0357142857142856,28,36,295
07053500,test,transfer,,0,0,0
07338500,test,transfer,-13.61111111111111,54,57,186
07338750,test,transfer,-5.271844660194175,103,105,490
07373000,test,transfer,3.418181818181818,55,67,123
07386980,test,transfer,8.31868131868132,182,316,247
08010000,test,transfer,-13.731481481481481,108,120,281
08013500,test,transfer,-5.882352941176471,34,40,360
08033900,test,transfer,,0,0,0
08040600,test,transfer,7.055555555555555,36,63,386
02075500,test,symbolic,-4.17910447761194,67,102,92
02091814,test,symbolic,20.30909090909091,55,125,121
02207400,test,symbolic,8.1875,16,16,104
02208130,test,symbolic,3.0833333333333335,12,13,29
02217274,test,symbolic,-8.0,1,1,62
02294330,test,symbolic,,0,4,0
02325000,test,symbolic,-10.375,8,18,316
02404400,test,symbolic,-2.0641025641025643,78,82,171
02405500,test,symbolic,-7.963302752293578,109,116,219
02422500,test,symbolic,2.2151898734177213,79,113,200
02423496,test,symbolic,-8.008196721311476,122,138,169
02446500,test,symbolic,-2.4761904761904763,42,64,161
02447025,test,symbolic,14.300578034682081,173,338,284
02458300,test,symbolic,10.25974025974026,231,287,286
03407908,test,symbolic,,0,0,0
03471500,test,symbolic,-5.890909090909091,55,58,192
03478400,test,symbolic,-2.1176470588235294,17,20,203
03526000,test,symbolic,,0,0,0
03535000,test,symbolic,-6.26890756302521,119,121,271
07024000,test,symbolic,1.1573033707865168,89,167,109
07029500,test,symbolic,-5.407407407407407,27,36,215
07053500,test,symbolic,,0,0,0
07338500,test,symbolic,-15.679245283018869,53,57,131
07338750,test,symbolic,-5.394230769230769,104,105,590
07373000,test,symbolic,2.2363636363636363,55,67,136
07386980,test,symbolic,11.198675496688741,151,316,244
08010000,test,symbolic,-7.486486486486487,74,120,154
08013500,test,symbolic,-4.107142857142857,28,40,185
08033900,test,symbolic,,0,0,0
08040600,test,symbolic,1.6170212765957446,47,63,506
