model,scatter_sample_n,test_kge_valid_n,test_kge_negative_n,test_kge_excluded_n,test_nse_valid_n,test_nse_negative_n,test_nse_excluded_n
Best 100-station MTSLSTM,10000,28,16,2,28,14,2
Daily-supervised transfer MTSLSTM,10000,28,16,2,28,14,2
Transfer + symbolic regression prior,10000,28,15,2,28,14,2
