method,n_basins_scored,median_kge,median_nse,frac_kge_gt_0
MTS-LSTM ensemble,283,-0.03208403288707262,0.09595895256882381,0.42402826855123676
ERA5-Land runoff,283,-0.33360387192619845,-1.4068649963931117,0.24734982332155478
continent-PUB baseline (prior work),294,0.279,0.245,0.7551020408163265
