station_id,p_mean,pet_mean,aridity_index,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,SNOW_PCT_PRECIP,DRAIN_SQKM,lat,lon,ELEV_MEAN_M_BASIN,ELEV_STD_M_BASIN,SLOPE_PCT,CLAYAVE,SILTAVE,SANDAVE,AWCAVE,PERMAVE,BDAVE,for_pc_use,crp_pc_use,urb_pc_use,BFI_AVE,WB5100_ANN_MM,selection_seed,selection_region,selection_note,train_samples,train_score_status,train_exclusion_reason,train_nse,train_kge,val_samples,val_score_status,val_exclusion_reason,val_nse,val_kge,test_samples,test_score_status,test_exclusion_reason,test_nse,test_kge
02070000,3.398133044412,4.51724543408165,1.32933154030268,0.148597788528471,0.0256164194460916,21.2289347204478,1.19201995012469,241.42361744844,4.17993079584775,8.389746,270.6084,36.56819358,-79.98726539,336.5751,66.97585,8.000258,38.21893,33.00571,28.77535,0.1379867,1.811454,1.388889,74.016217,0.09245833,4.582341453,52.79497,461.4467,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.7670689617033735,0.8183505753687118,1648,ok,,0.5711465241393558,0.7508154629987985,2377,ok,,0.6291371603513911,0.7323541556210112
02152474,3.57400479594816,4.58738110512868,1.28354083641112,0.0365941549612721,0.0196686091107233,21.1845227231247,1.1925,237.648597675975,4.26035031847134,5.322512,491.4288,35.415278,-81.561667,377.6073,105.9158,10.38621,30.18239,33.20781,36.60979,0.1388234,1.740488,1.373219,65.497263,0.1113488,4.304143302,56.88678,519.8705,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,excluded,metric_nonfinite,,,1648,ok,,0.2445125593262859,0.4016671413929582,2377,ok,,0.751561531338031,0.8752066073848341
02191300,3.6141522324025,4.73434303686805,1.30994566150881,-0.0822606635323196,0.0123783860062814,21.0290807324938,1.19269521410579,237.559773681329,4.35763747454175,3.029707,1958.666,34.073333,-83.003333,244.4746,50.50548,5.292457,34.10371,29.95156,35.94472,0.133784,1.813745,1.3803105,50.8159231,0.0377706,8.460016500000002,61.76642,522.3213,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.9372194533397513,0.9419766797687062,1648,ok,,0.8082250945441887,0.8576112860298886,2377,ok,,0.6812102156762632,0.7631576525476602
02207448,3.4514620739186,4.84742425016731,1.4044553138212,-0.0567886979234696,0.0081346785577998,21.8284966843098,1.17163289630513,245.887023179412,4.38014240506329,2.199738,211.9221,33.661389,-83.927778,270.389,29.82907,3.928706,24.97406,30.03814,44.9878,0.1241746,2.748345,1.3987175,40.86695,0.0,29.7342678,51.52356,468.434903,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.936226658132304,0.9399376818227759,1648,ok,,0.22446162399960812,0.5638963387889724,2377,ok,,-0.6416149487977747,-0.21565383026472884
02232500,3.6102277119304,5.84492575171868,1.61899088315218,0.6450350584922,0.0,17.0097949747521,1.21587301587302,211.223459268723,4.45944678856071,0.0,4094.564,28.54305529,-80.94339195,10.87821,6.404936,0.01689356,6.750226,4.743145,88.50663,0.1069782,10.70703,1.3774005,0.1199468,8.667735,8.010786,46.32477,231.7084,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.9466342429197214,0.8726323051733483,1648,ok,,0.7673309362037952,0.7405487137719308,2377,ok,,0.4958414072143492,0.5366986634812336
02245500,3.53916973675245,5.68513490296283,1.60634706042088,0.496345969970131,8.62422650459269e-06,18.4087728904301,1.17923186344239,227.345014297013,4.4766069086139,0.0,348.4345,29.97940752,-81.85204256,35.76276,12.64813,0.8455909,4.457767,5.340614,90.20162,0.0882367,10.35587,1.4764325,49.2234167,0.1299255,7.02475812,41.46449,273.6056,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.7992808357085214,0.838180931501086,1648,ok,,0.669991630567351,0.6475627078929453,2377,ok,,0.6037950138349657,0.7684912340994151
02246459,3.60699685125023,5.65474680294457,1.56771603528974,0.464188057685677,7.32337879965059e-05,18.8973048609844,1.18194444444444,230.276206120338,4.47948164146868,0.0,55.9404,30.282184,-81.740376,13.08698,7.851936,0.4266833,6.741241,6.362792,86.89597,0.08948597,8.590195,1.507047,11.1059268,0.1576678,72.099236,31.96058,314.35972,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.14494334487886273,0.060429059409075725,1648,ok,,-0.0065357641635883645,0.012576184180563721,2377,ok,,-2.144267552782154,-0.9637902337345376
02294217,3.33486166678834,5.9784077660157,1.79270037661659,0.668207902086316,0.0,18.3865668917686,1.21764705882353,228.832816207337,4.83575786015955,0.0,151.0938,28.044187,-81.876192,41.88671,6.680372,0.3502548,11.17334,5.999242,82.82742,0.08135071,11.81722,1.466424,0.002978282,1.573129,38.42103,44.55217,207.7088,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.8964908812955573,0.8506256959568832,1648,ok,,0.674934651328847,0.6879434487446817,2377,ok,,0.13840287416890062,0.387991326349318
02307000,3.5250682117783,5.94341601873821,1.68604283993129,0.688769940066728,0.0,19.4746608261848,1.22486033519553,239.247429579607,4.9902732746642,0.0,112.179,28.03696237,-82.57593042,15.29139,3.504605,0.08322937,3.738278,4.353398,91.90833,0.08449692,11.86547,1.465272,0.3224694,0.2005407,57.096328,35.34203,230.8743,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,ok,,0.8397809567926979,0.9056817018657942,1648,ok,,0.7330580906449295,0.798906111752117,2377,ok,,0.7201651470672206,0.8131978925019203
02343225,3.28671378749163,5.21432596459207,1.58648616877941,-0.0275404036410922,0.0016089278711069,21.1401107258015,1.19597989949749,243.355539331995,4.54541683948569,0.0,762.0489,31.818495,-84.973816,130.1537,26.70988,4.659163,25.0073,21.23469,53.75801,0.1187904,2.893355,1.555522,68.015683,6.839561,1.873580952,56.24837,402.526875,42,S2 Cfa-SE,"Figure-inferred box lon=[-95.0, -75.0], lat=[28.0, 36.8]",4569,excluded,metric_nonfinite,,,1648,ok,,0.6201184280087271,0.2718147899482516,2377,ok,,0.13221803574922575,0.23240751472881027
