split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.8660334439119666,0.8925247218403096,0.8258155056561468,0.8334048352449103,0,0
val,30,28,2,0.6519109403900251,0.6641348787001695,-1.8191427997530436,-71.30783247466859,5,6
test,30,28,2,0.6961334859469703,0.6419208129673705,-2.1569495222179254,-87.34480936326268,7,7
