split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.8341430203232039,0.8538630532785378,0.7965913706918081,0.7997540424503368,0,0
val,30,28,2,0.6375110684860152,0.6556259279240391,-1.705670084953754,-89.1494113374177,5,5
test,30,28,2,0.6725303337808769,0.5814359090844037,-4.429322081561468,-536.6366043401341,7,8
