epoch,train_loss,val_loss
1,1.6373555112856937,0.632058610429026
2,0.833500449916207,0.6027718755872571
3,0.6963748889702762,0.4992742897992593
4,0.5993745322226254,0.4218151693964687
5,0.5987002864738339,0.4465294505386796
6,0.52679193217835,0.45060443986529264
7,0.5113727163650391,0.4095243287446024
8,0.45855573564534413,0.3900429816333052
9,0.45441236862187934,0.36023366615166913
10,0.44921954048009494,0.3221165510356526
11,0.37823900498578705,0.3228100083940661
12,0.36728173780242407,0.3085866609711364
13,0.34424229046481514,0.39902964785613154
14,0.35121902642532926,0.3084958651476918
15,0.3166072005169034,0.29123076593763114
16,0.32296977625032164,0.29388709141368746
17,0.31170466201149133,0.2937494522122992
18,0.28816603725839557,0.28417468732485157
19,0.29576476250284356,0.2662584513004501
20,0.26568805789518896,0.3140140689501721
21,0.2893639358880522,0.3384379811039122
22,0.2691963455514088,0.2921732601787157
23,0.25431272902310986,0.2706735017246789
24,0.2662516510650362,0.2531556163468522
25,0.23986246070964326,0.29964989470550135
26,0.24586336938058392,0.29399935984220454
27,0.23694487404475453,0.25575246865994605
28,0.23387592678623983,0.2761755651627335
29,0.23991852029765115,0.2622685930253076
30,0.2268084149971606,0.24751887057671776
31,0.22231209144115802,0.24627242317977224
32,0.20585110087284716,0.2715683328438736
33,0.2195851663661495,0.28780878564421225
34,0.22868852459779182,0.25768727411011116
35,0.20195600726964388,0.24776275752166316
36,0.20576319723188488,0.28653149711410714
37,0.20582295471938064,0.2868199935929244
38,0.2007715608335236,0.2684250018294687
39,0.19655336841595156,0.2684234441167395
40,0.20278390559675533,0.28167748386709013
41,0.1915473746670822,0.2918120283059843
