split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.7309705574331371,0.7237016550583133,0.6836377797605295,0.7015282575683716,0,0
val,30,28,2,0.6225195930288066,0.6222226065817289,-2.3778961579616604,-128.9385531504284,6,6
test,30,28,2,0.5416739733901816,0.5547601824087516,-2.57581043992003,-173.98601233762767,7,8
